,ticker,year,month,Stock Price on day of recommendation,Stock Price after 4 weeks,Rating_Category,Value,transaction_type_category,percentage_of_market_cap
10054,PNR,2013,11,40.668726603190066,41.678359985351534,1.0,-699771,0.0,5.888364310108377e-05
10055,PNR,2014,5,43.3630599975585,44.094554901123,1.0,-4579632,0.0,0.0003853965062392
10056,PNR,2014,8,37.4026985168457,40.0000343322753,1.0,457452,1.0,3.849648096417612e-05
10057,PNR,2014,11,40.7817764282226,39.6010627746582,1.0,-15891833,0.0,0.001337339218851743
10058,PNR,2015,2,38.19316291809075,38.11454582214355,1.0,-3464564,0.0,0.0002915598951106313
10059,PNR,2015,10,33.966697692871,32.8408699035644,1.0,14729547,1.0,0.0012394404824327
10060,PNR,2016,2,28.0268774032592,30.83078289031975,1.0,31097964,0.5,0.0026490423195556943
10061,PNR,2016,4,35.27524566650385,36.98054885864252,1.0,-714000,0.0,6.008408783239393e-05
10062,PNR,2016,6,36.2899513244628,37.5428009033203,1.0,-12808126,0.0,0.0010777895338756
10063,PNR,2016,8,40.0893325805664,36.752643585205,1.0,-10164946,0.0,0.0008553964521802803
10064,PNR,2016,9,37.4654541015625,36.4264030456543,1.0,-626100,0.0,5.268718122109501e-05
10065,PNR,2017,1,36.2842559814453,36.4995079040527,1.0,-578700,0.0,4.869840564230583e-05
10066,PNR,2017,5,41.2195129394531,41.4695167541503,1.0,40602403,0.25,0.006060370158777575
10067,PNR,2018,1,45.778335571289,44.179239273071246,0.5,-168166,0.0,1.4150694689194068e-05
10068,PNR,2018,4,44.145908355712834,43.05013783772784,1.0,-7150000,0.0,0.0006016823921591
10069,PNR,2018,5,42.66166196550637,41.980810437883626,0.8571428571428571,-73926125,0.0,0.0062216904647676
10070,PNR,2019,4,37.7307586669921,36.2666587829589,1.0,-109575,0.0,9.220887849068018e-06
10071,PNR,2019,12,44.154580434163364,44.482954661051366,1.0,-270511,0.0,2.276384797860029e-05
10072,PNR,2020,10,50.082612355550104,51.987925211588504,1.0,-1071674,0.0,9.017923127159122e-05
10073,PNR,2020,12,50.5871391296386,52.7429580688476,1.0,-221179,0.0,1.861249781744972e-05
10074,PNW,2012,8,39.6484642028808,37.6546783447265,1.0,-79605,0.0,9.869204849527784e-06
10075,PNW,2012,9,38.3950233459472,38.9740982055664,1.0,-80858,0.0,1.0024523483225273e-05
10076,PNW,2013,2,40.6908836364746,42.381980895996,1.0,-202143,0.0,2.5061152496793655e-05
10077,PNW,2013,5,44.7970314025878,42.7886009216308,0.0,-409352,0.0,5.075031396977448e-05
